emoji,name,group,sub_group,codepoints,name_spanish,name_spanish_formatted
😒,unamused face,Smileys & Emotion,face-neutral-skeptical,1F612,cara unamused,[cara unamused]
🙄,face with rolling eyes,Smileys & Emotion,face-neutral-skeptical,1F644,cara con los ojos en blanco,[cara con los ojos en blanco]
😬,grimacing face,Smileys & Emotion,face-neutral-skeptical,1F62C,cara muecas,[cara muecas]
🤥,lying face,Smileys & Emotion,face-neutral-skeptical,1F925,cara de mentira,[cara de mentira]
😌,relieved face,Smileys & Emotion,face-sleepy,1F60C,la cara de alivio,[la cara de alivio]
😔,pensive face,Smileys & Emotion,face-sleepy,1F614,rostro pensativo,[rostro pensativo]
😪,sleepy face,Smileys & Emotion,face-sleepy,1F62A,cara somnolienta,[cara somnolienta]
🤤,drooling face,Smileys & Emotion,face-sleepy,1F924,cara babeo,[cara babeo]
😴,sleeping face,Smileys & Emotion,face-sleepy,1F634,rostro dormido,[rostro dormido]
😷,face with medical mask,Smileys & Emotion,face-unwell,1F637,cara con la mascara medica,[cara con la mascara medica]
🤒,face with thermometer,Smileys & Emotion,face-unwell,1F912,cara con termometro,[cara con termometro]
🤕,face with head-bandage,Smileys & Emotion,face-unwell,1F915,cara con la cabeza-vendaje,[cara con la cabeza-vendaje]
🤢,nauseated face,Smileys & Emotion,face-unwell,1F922,cara nauseas,[cara nauseas]
🤮,face vomiting,Smileys & Emotion,face-unwell,1F92E,cara vomitos,[cara vomitos]
🤧,sneezing face,Smileys & Emotion,face-unwell,1F927,cara estornudos,[cara estornudos]
🥵,hot face,Smileys & Emotion,face-unwell,1F975,cara caliente,[cara caliente]
🥶,cold face,Smileys & Emotion,face-unwell,1F976,rostro frio,[rostro frio]
🥴,woozy face,Smileys & Emotion,face-unwell,1F974,cara mareado,[cara mareado]
😵,dizzy face,Smileys & Emotion,face-unwell,1F635,cara mareos,[cara mareos]
🤯,exploding head,Smileys & Emotion,face-unwell,1F92F,la explosion de la cabeza,[la explosion de la cabeza]
🤠,cowboy hat face,Smileys & Emotion,face-hat,1F920,cara sombrero de vaquero,[cara sombrero de vaquero]
🥳,partying face,Smileys & Emotion,face-hat,1F973,la cara de fiesta,[la cara de fiesta]
🥸,disguised face,Smileys & Emotion,face-hat,1F978,cara encubierta,[cara encubierta]
😎,smiling face with sunglasses,Smileys & Emotion,face-glasses,1F60E,cara sonriente con gafas de sol,[cara sonriente con gafas de sol]
🤓,nerd face,Smileys & Emotion,face-glasses,1F913,cara empollon,[cara empollon]
🧐,face with monocle,Smileys & Emotion,face-glasses,1F9D0,cara con el monoculo,[cara con el monoculo]
😕,confused face,Smileys & Emotion,face-concerned,1F615,cara confusa,[cara confusa]
😟,worried face,Smileys & Emotion,face-concerned,1F61F,cara de preocupacion,[cara de preocupacion]
🙁,slightly frowning face,Smileys & Emotion,face-concerned,1F641,ligeramente el ceno fruncido cara,[ligeramente el ceno fruncido cara]
☹️,frowning face,Smileys & Emotion,face-concerned,2639 FE0F,ceno fruncido,[ceno fruncido]
☹,frowning face,Smileys & Emotion,face-concerned,2639,ceno fruncido,[ceno fruncido]
😮,face with open mouth,Smileys & Emotion,face-concerned,1F62E,cara con la boca abierta,[cara con la boca abierta]
😯,hushed face,Smileys & Emotion,face-concerned,1F62F,cara silenciosa,[cara silenciosa]
😲,astonished face,Smileys & Emotion,face-concerned,1F632,cara de asombro,[cara de asombro]
😳,flushed face,Smileys & Emotion,face-concerned,1F633,cara sonrojada,[cara sonrojada]
🥺,pleading face,Smileys & Emotion,face-concerned,1F97A,cara suplicante,[cara suplicante]
😦,frowning face with open mouth,Smileys & Emotion,face-concerned,1F626,ceno fruncido con la boca abierta,[ceno fruncido con la boca abierta]
😧,anguished face,Smileys & Emotion,face-concerned,1F627,rostro angustiado,[rostro angustiado]
😨,fearful face,Smileys & Emotion,face-concerned,1F628,cara de miedo,[cara de miedo]
😰,anxious face with sweat,Smileys & Emotion,face-concerned,1F630,rostro ansioso de sudor,[rostro ansioso de sudor]
😥,sad but relieved face,Smileys & Emotion,face-concerned,1F625,"cara triste, pero aliviado","[cara triste, pero aliviado]"
😢,crying face,Smileys & Emotion,face-concerned,1F622,cara llorosa,[cara llorosa]
😭,loudly crying face,Smileys & Emotion,face-concerned,1F62D,cara llorando en voz alta,[cara llorando en voz alta]
😱,face screaming in fear,Smileys & Emotion,face-concerned,1F631,cara gritando de miedo,[cara gritando de miedo]
😖,confounded face,Smileys & Emotion,face-concerned,1F616,rostro confundido,[rostro confundido]
😣,persevering face,Smileys & Emotion,face-concerned,1F623,cara perseverante,[cara perseverante]
😞,disappointed face,Smileys & Emotion,face-concerned,1F61E,cara decepcionado,[cara decepcionado]
😓,downcast face with sweat,Smileys & Emotion,face-concerned,1F613,cara abatida de sudor,[cara abatida de sudor]
😩,weary face,Smileys & Emotion,face-concerned,1F629,rostro cansado,[rostro cansado]
😫,tired face,Smileys & Emotion,face-concerned,1F62B,cara cansada,[cara cansada]
🥱,yawning face,Smileys & Emotion,face-concerned,1F971,bostezo cara,[bostezo cara]
😤,face with steam from nose,Smileys & Emotion,face-negative,1F624,cara con vapor de agua de la nariz,[cara con vapor de agua de la nariz]
😡,pouting face,Smileys & Emotion,face-negative,1F621,cara mala cara,[cara mala cara]
😠,angry face,Smileys & Emotion,face-negative,1F620,cara enojada,[cara enojada]
🤬,face with symbols on mouth,Smileys & Emotion,face-negative,1F92C,cara con simbolos en la boca,[cara con simbolos en la boca]
😈,smiling face with horns,Smileys & Emotion,face-negative,1F608,cara sonriente con los cuernos,[cara sonriente con los cuernos]
👿,angry face with horns,Smileys & Emotion,face-negative,1F47F,cara enojada con cuernos,[cara enojada con cuernos]
💀,skull,Smileys & Emotion,face-negative,1F480,craneo,[craneo]
☠️,skull and crossbones,Smileys & Emotion,face-negative,2620 FE0F,calavera,[calavera]
☠,skull and crossbones,Smileys & Emotion,face-negative,2620,calavera,[calavera]
💩,pile of poo,Smileys & Emotion,face-costume,1F4A9,pila de caca,[pila de caca]
🤡,clown face,Smileys & Emotion,face-costume,1F921,la cara de payaso,[la cara de payaso]
👹,ogre,Smileys & Emotion,face-costume,1F479,ogro,[ogro]
👺,goblin,Smileys & Emotion,face-costume,1F47A,duende,[duende]
👻,ghost,Smileys & Emotion,face-costume,1F47B,fantasma,[fantasma]
👽,alien,Smileys & Emotion,face-costume,1F47D,extraterrestre,[extraterrestre]
👾,alien monster,Smileys & Emotion,face-costume,1F47E,monstruo extraterrestre,[monstruo extraterrestre]
🤖,robot,Smileys & Emotion,face-costume,1F916,robot,[robot]
😺,grinning cat,Smileys & Emotion,cat-face,1F63A,gato sonriendo,[gato sonriendo]
😸,grinning cat with smiling eyes,Smileys & Emotion,cat-face,1F638,sonriendo gato con ojos sonrientes,[sonriendo gato con ojos sonrientes]
😹,cat with tears of joy,Smileys & Emotion,cat-face,1F639,gato con lagrimas de alegria,[gato con lagrimas de alegria]
😻,smiling cat with heart-eyes,Smileys & Emotion,cat-face,1F63B,gato sonriente con el corazon-ojos,[gato sonriente con el corazon-ojos]
😼,cat with wry smile,Smileys & Emotion,cat-face,1F63C,gato con sonrisa ironica,[gato con sonrisa ironica]
😽,kissing cat,Smileys & Emotion,cat-face,1F63D,gato besar,[gato besar]
🙀,weary cat,Smileys & Emotion,cat-face,1F640,gato cansado,[gato cansado]
😿,crying cat,Smileys & Emotion,cat-face,1F63F,gato llorando,[gato llorando]
😾,pouting cat,Smileys & Emotion,cat-face,1F63E,gato pucheros,[gato pucheros]
🙈,see-no-evil monkey,Smileys & Emotion,monkey-face,1F648,ver-mal-mono,[ver-mal-mono]
🙉,hear-no-evil monkey,Smileys & Emotion,monkey-face,1F649,hear-sin-mal mono,[hear-sin-mal mono]
🙊,speak-no-evil monkey,Smileys & Emotion,monkey-face,1F64A,speak-sin-mal mono,[speak-sin-mal mono]
💋,kiss mark,Smileys & Emotion,emotion,1F48B,marca de beso,[marca de beso]
💌,love letter,Smileys & Emotion,emotion,1F48C,carta de amor,[carta de amor]
💘,heart with arrow,Smileys & Emotion,emotion,1F498,corazon con la flecha,[corazon con la flecha]
💝,heart with ribbon,Smileys & Emotion,emotion,1F49D,corazon con la cinta,[corazon con la cinta]
💖,sparkling heart,Smileys & Emotion,emotion,1F496,el corazon chispeante,[el corazon chispeante]
💗,growing heart,Smileys & Emotion,emotion,1F497,corazon cada vez mayor,[corazon cada vez mayor]
💓,beating heart,Smileys & Emotion,emotion,1F493,corazon palpitante,[corazon palpitante]
💞,revolving hearts,Smileys & Emotion,emotion,1F49E,corazones giratorias,[corazones giratorias]
💕,two hearts,Smileys & Emotion,emotion,1F495,dos corazones,[dos corazones]
💟,heart decoration,Smileys & Emotion,emotion,1F49F,la decoracion del corazon,[la decoracion del corazon]
❣️,heart exclamation,Smileys & Emotion,emotion,2763 FE0F,exclamacion corazon,[exclamacion corazon]
❣,heart exclamation,Smileys & Emotion,emotion,2763,exclamacion corazon,[exclamacion corazon]
💔,broken heart,Smileys & Emotion,emotion,1F494,corazon roto,[corazon roto]
❤️,red heart,Smileys & Emotion,emotion,2764 FE0F,corazon rojo,[corazon rojo]
❤,red heart,Smileys & Emotion,emotion,2764,corazon rojo,[corazon rojo]
🧡,orange heart,Smileys & Emotion,emotion,1F9E1,corazon anaranjado,[corazon anaranjado]
💛,yellow heart,Smileys & Emotion,emotion,1F49B,corazon amarillo,[corazon amarillo]
💚,green heart,Smileys & Emotion,emotion,1F49A,corazon verde,[corazon verde]
💙,blue heart,Smileys & Emotion,emotion,1F499,corazon azul,[corazon azul]
💜,purple heart,Smileys & Emotion,emotion,1F49C,corazon purpura,[corazon purpura]
🤎,brown heart,Smileys & Emotion,emotion,1F90E,marron del corazon,[marron del corazon]
🖤,black heart,Smileys & Emotion,emotion,1F5A4,corazon negro,[corazon negro]
🤍,white heart,Smileys & Emotion,emotion,1F90D,corazon blanco,[corazon blanco]
💯,hundred points,Smileys & Emotion,emotion,1F4AF,cien puntos,[cien puntos]
💢,anger symbol,Smileys & Emotion,emotion,1F4A2,simbolo de la ira,[simbolo de la ira]
💥,collision,Smileys & Emotion,emotion,1F4A5,colision,[colision]
💫,dizzy,Smileys & Emotion,emotion,1F4AB,mareado,[mareado]
💦,sweat droplets,Smileys & Emotion,emotion,1F4A6,gotitas de sudor,[gotitas de sudor]
💨,dashing away,Smileys & Emotion,emotion,1F4A8,corriendo lejos,[corriendo lejos]
🕳️,hole,Smileys & Emotion,emotion,1F573 FE0F,agujero,[agujero]
🕳,hole,Smileys & Emotion,emotion,1F573,agujero,[agujero]
💣,bomb,Smileys & Emotion,emotion,1F4A3,bomba,[bomba]
💬,speech balloon,Smileys & Emotion,emotion,1F4AC,globo de dialogo,[globo de dialogo]
👁️‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8 FE0F,ojo en discurso burbuja,[ojo en discurso burbuja]
👁‍🗨️,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8 FE0F,ojo en discurso burbuja,[ojo en discurso burbuja]
👁️‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 FE0F 200D 1F5E8,ojo en discurso burbuja,[ojo en discurso burbuja]
👁‍🗨,eye in speech bubble,Smileys & Emotion,emotion,1F441 200D 1F5E8,ojo en discurso burbuja,[ojo en discurso burbuja]
🗨️,left speech bubble,Smileys & Emotion,emotion,1F5E8 FE0F,burbuja de dialogo izquierda,[burbuja de dialogo izquierda]
🗨,left speech bubble,Smileys & Emotion,emotion,1F5E8,burbuja de dialogo izquierda,[burbuja de dialogo izquierda]
🗯️,right anger bubble,Smileys & Emotion,emotion,1F5EF FE0F,burbuja de la ira derecha,[burbuja de la ira derecha]
🗯,right anger bubble,Smileys & Emotion,emotion,1F5EF,burbuja de la ira derecha,[burbuja de la ira derecha]
💭,thought balloon,Smileys & Emotion,emotion,1F4AD,globo de pensamiento,[globo de pensamiento]
💤,zzz,Smileys & Emotion,emotion,1F4A4,zzz,[zzz]
👋,waving hand,People & Body,hand-fingers-open,1F44B,mano que saluda,[mano que saluda]
👋🏻,waving hand: light skin tone,People & Body,hand-fingers-open,1F44B 1F3FB,agitando la mano  tono de piel clara,[agitando la mano  tono de piel clara]
👋🏼,waving hand: medium-light skin tone,People & Body,hand-fingers-open,1F44B 1F3FC,tono de la piel de mediano luz  agitando la mano,[tono de la piel de mediano luz  agitando la mano]
👋🏽,waving hand: medium skin tone,People & Body,hand-fingers-open,1F44B 1F3FD,agitando la mano  tono de piel medio,[agitando la mano  tono de piel medio]
👋🏾,waving hand: medium-dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FE,agitando la mano  tono de piel medio-oscuro,[agitando la mano  tono de piel medio-oscuro]
👋🏿,waving hand: dark skin tone,People & Body,hand-fingers-open,1F44B 1F3FF,agitando la mano  tono de piel oscura,[agitando la mano  tono de piel oscura]
🤚,raised back of hand,People & Body,hand-fingers-open,1F91A,espalda levantada de la mano,[espalda levantada de la mano]
🤚🏻,raised back of hand: light skin tone,People & Body,hand-fingers-open,1F91A 1F3FB,espalda levantada de la mano  tono de piel clara,[espalda levantada de la mano  tono de piel clara]
🤚🏼,raised back of hand: medium-light skin tone,People & Body,hand-fingers-open,1F91A 1F3FC,espalda levantada de la mano  medio-ligero tono de la piel,[espalda levantada de la mano  medio-ligero tono de la piel]
🤚🏽,raised back of hand: medium skin tone,People & Body,hand-fingers-open,1F91A 1F3FD,espalda levantada de la mano  tono de piel medio,[espalda levantada de la mano  tono de piel medio]
🤚🏾,raised back of hand: medium-dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FE,espalda levantada de la mano  tono de piel medio-oscuro,[espalda levantada de la mano  tono de piel medio-oscuro]
🤚🏿,raised back of hand: dark skin tone,People & Body,hand-fingers-open,1F91A 1F3FF,espalda levantada de la mano  tono de piel oscura,[espalda levantada de la mano  tono de piel oscura]
🖐️,hand with fingers splayed,People & Body,hand-fingers-open,1F590 FE0F,la mano con los dedos extendidos,[la mano con los dedos extendidos]
🖐,hand with fingers splayed,People & Body,hand-fingers-open,1F590,la mano con los dedos extendidos,[la mano con los dedos extendidos]
🖐🏻,hand with fingers splayed: light skin tone,People & Body,hand-fingers-open,1F590 1F3FB,la mano con los dedos extendidos  tono de piel clara,[la mano con los dedos extendidos  tono de piel clara]
🖐🏼,hand with fingers splayed: medium-light skin tone,People & Body,hand-fingers-open,1F590 1F3FC,la mano con los dedos extendidos  medio-ligero tono de la piel,[la mano con los dedos extendidos  medio-ligero tono de la piel]
🖐🏽,hand with fingers splayed: medium skin tone,People & Body,hand-fingers-open,1F590 1F3FD,la mano con los dedos extendidos  tono de piel medio,[la mano con los dedos extendidos  tono de piel medio]
🖐🏾,hand with fingers splayed: medium-dark skin tone,People & Body,hand-fingers-open,1F590 1F3FE,la mano con los dedos extendidos  el tono de piel medio-oscuro,[la mano con los dedos extendidos  el tono de piel medio-oscuro]
🖐🏿,hand with fingers splayed: dark skin tone,People & Body,hand-fingers-open,1F590 1F3FF,la mano con los dedos extendidos  tono de piel oscura,[la mano con los dedos extendidos  tono de piel oscura]
✋,raised hand,People & Body,hand-fingers-open,270B,mano levantada,[mano levantada]
✋🏻,raised hand: light skin tone,People & Body,hand-fingers-open,270B 1F3FB,mano levantada  tono de piel clara,[mano levantada  tono de piel clara]
✋🏼,raised hand: medium-light skin tone,People & Body,hand-fingers-open,270B 1F3FC,mano levantada  tono de la piel de mediano luz,[mano levantada  tono de la piel de mediano luz]
✋🏽,raised hand: medium skin tone,People & Body,hand-fingers-open,270B 1F3FD,mano levantada  tono de piel medio,[mano levantada  tono de piel medio]
✋🏾,raised hand: medium-dark skin tone,People & Body,hand-fingers-open,270B 1F3FE,tono de piel medio-oscuro  la mano levantada,[tono de piel medio-oscuro  la mano levantada]
✋🏿,raised hand: dark skin tone,People & Body,hand-fingers-open,270B 1F3FF,mano levantada  tono de piel oscura,[mano levantada  tono de piel oscura]
🖖,vulcan salute,People & Body,hand-fingers-open,1F596,saludo vulcano,[saludo vulcano]
🖖🏻,vulcan salute: light skin tone,People & Body,hand-fingers-open,1F596 1F3FB,saludo vulcano  tono de piel clara,[saludo vulcano  tono de piel clara]
🖖🏼,vulcan salute: medium-light skin tone,People & Body,hand-fingers-open,1F596 1F3FC,saludo vulcan  medio-luz tono de la piel,[saludo vulcan  medio-luz tono de la piel]
🖖🏽,vulcan salute: medium skin tone,People & Body,hand-fingers-open,1F596 1F3FD,saludo vulcan  tono de piel medio,[saludo vulcan  tono de piel medio]
🖖🏾,vulcan salute: medium-dark skin tone,People & Body,hand-fingers-open,1F596 1F3FE,saludo vulcan  tono de piel medio-oscuro,[saludo vulcan  tono de piel medio-oscuro]
🖖🏿,vulcan salute: dark skin tone,People & Body,hand-fingers-open,1F596 1F3FF,saludo vulcano  tono de piel oscura,[saludo vulcano  tono de piel oscura]
👌,OK hand,People & Body,hand-fingers-partial,1F44C,aceptar la mano,[aceptar la mano]
👌🏻,OK hand: light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FB,aceptar la mano  tono de piel clara,[aceptar la mano  tono de piel clara]
👌🏼,OK hand: medium-light skin tone,People & Body,hand-fingers-partial,1F44C 1F3FC,aceptar la mano  medio-ligero tono de la piel,[aceptar la mano  medio-ligero tono de la piel]
👌🏽,OK hand: medium skin tone,People & Body,hand-fingers-partial,1F44C 1F3FD,aceptar la mano  tono de piel medio,[aceptar la mano  tono de piel medio]
👌🏾,OK hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FE,aceptar la mano  el tono de piel medio-oscuro,[aceptar la mano  el tono de piel medio-oscuro]
👌🏿,OK hand: dark skin tone,People & Body,hand-fingers-partial,1F44C 1F3FF,aceptar la mano  tono de piel oscura,[aceptar la mano  tono de piel oscura]
🤌,pinched fingers,People & Body,hand-fingers-partial,1F90C,aplastamiento de los dedos,[aplastamiento de los dedos]
🤌🏻,pinched fingers: light skin tone,People & Body,hand-fingers-partial,1F90C 1F3FB,aplastamiento de los dedos  tono de piel clara,[aplastamiento de los dedos  tono de piel clara]
🤌🏼,pinched fingers: medium-light skin tone,People & Body,hand-fingers-partial,1F90C 1F3FC,aplastamiento de los dedos  medio-ligero tono de la piel,[aplastamiento de los dedos  medio-ligero tono de la piel]
🤌🏽,pinched fingers: medium skin tone,People & Body,hand-fingers-partial,1F90C 1F3FD,aplastamiento de los dedos  tono de piel medio,[aplastamiento de los dedos  tono de piel medio]
🤌🏾,pinched fingers: medium-dark skin tone,People & Body,hand-fingers-partial,1F90C 1F3FE,aplastamiento de los dedos  el tono de piel medio-oscuro,[aplastamiento de los dedos  el tono de piel medio-oscuro]
🤌🏿,pinched fingers: dark skin tone,People & Body,hand-fingers-partial,1F90C 1F3FF,aplastamiento de los dedos  tono de piel oscura,[aplastamiento de los dedos  tono de piel oscura]
🤏,pinching hand,People & Body,hand-fingers-partial,1F90F,mano pellizcando,[mano pellizcando]
🤏🏻,pinching hand: light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FB,pellizcar la mano  tono de piel clara,[pellizcar la mano  tono de piel clara]
🤏🏼,pinching hand: medium-light skin tone,People & Body,hand-fingers-partial,1F90F 1F3FC,tono de la piel de mediano luz  pellizcos mano,[tono de la piel de mediano luz  pellizcos mano]
🤏🏽,pinching hand: medium skin tone,People & Body,hand-fingers-partial,1F90F 1F3FD,pellizcos mano  tono de piel medio,[pellizcos mano  tono de piel medio]
🤏🏾,pinching hand: medium-dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FE,pellizcos mano  tono de piel medio-oscuro,[pellizcos mano  tono de piel medio-oscuro]
🤏🏿,pinching hand: dark skin tone,People & Body,hand-fingers-partial,1F90F 1F3FF,pellizcar la mano  tono de piel oscura,[pellizcar la mano  tono de piel oscura]
✌️,victory hand,People & Body,hand-fingers-partial,270C FE0F,mano de la victoria,[mano de la victoria]
✌,victory hand,People & Body,hand-fingers-partial,270C,mano de la victoria,[mano de la victoria]
✌🏻,victory hand: light skin tone,People & Body,hand-fingers-partial,270C 1F3FB,mano de la victoria  tono de piel clara,[mano de la victoria  tono de piel clara]
✌🏼,victory hand: medium-light skin tone,People & Body,hand-fingers-partial,270C 1F3FC,mano de la victoria  el tono de piel medio-luz,[mano de la victoria  el tono de piel medio-luz]
✌🏽,victory hand: medium skin tone,People & Body,hand-fingers-partial,270C 1F3FD,mano de la victoria  tono de piel medio,[mano de la victoria  tono de piel medio]
✌🏾,victory hand: medium-dark skin tone,People & Body,hand-fingers-partial,270C 1F3FE,mano de la victoria  el tono de piel medio-oscuro,[mano de la victoria  el tono de piel medio-oscuro]
✌🏿,victory hand: dark skin tone,People & Body,hand-fingers-partial,270C 1F3FF,mano de la victoria  tono de piel oscura,[mano de la victoria  tono de piel oscura]
🤞,crossed fingers,People & Body,hand-fingers-partial,1F91E,dedos cruzados,[dedos cruzados]
🤞🏻,crossed fingers: light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FB,los dedos cruzados  tono de piel clara,[los dedos cruzados  tono de piel clara]
🤞🏼,crossed fingers: medium-light skin tone,People & Body,hand-fingers-partial,1F91E 1F3FC,los dedos cruzados  medio-ligero tono de la piel,[los dedos cruzados  medio-ligero tono de la piel]
🤞🏽,crossed fingers: medium skin tone,People & Body,hand-fingers-partial,1F91E 1F3FD,los dedos cruzados  tono de piel medio,[los dedos cruzados  tono de piel medio]
🤞🏾,crossed fingers: medium-dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FE,los dedos cruzados  el tono de piel medio-oscuro,[los dedos cruzados  el tono de piel medio-oscuro]
🤞🏿,crossed fingers: dark skin tone,People & Body,hand-fingers-partial,1F91E 1F3FF,los dedos cruzados  tono de piel oscura,[los dedos cruzados  tono de piel oscura]
🤟,love-you gesture,People & Body,hand-fingers-partial,1F91F,love-you gesto,[love-you gesto]
🤟🏻,love-you gesture: light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FB,amor-gesto que  tono de piel clara,[amor-gesto que  tono de piel clara]
🤟🏼,love-you gesture: medium-light skin tone,People & Body,hand-fingers-partial,1F91F 1F3FC,tono de piel medio-luz  amor-usted gesto,[tono de piel medio-luz  amor-usted gesto]
🤟🏽,love-you gesture: medium skin tone,People & Body,hand-fingers-partial,1F91F 1F3FD,amor-gesto que  tono de piel medio,[amor-gesto que  tono de piel medio]
🤟🏾,love-you gesture: medium-dark skin tone,People & Body,hand-fingers-partial,1F91F 1F3FE,amor-gesto que  tono de piel medio-oscuro,[amor-gesto que  tono de piel medio-oscuro]
🤟🏿,love-you gesture: dark skin tone,People & Body,hand-fingers-partial,1F91F 1F3FF,amor-gesto que  tono de piel oscura,[amor-gesto que  tono de piel oscura]
🤘,sign of the horns,People & Body,hand-fingers-partial,1F918,signo de los cuernos,[signo de los cuernos]
🤘🏻,sign of the horns: light skin tone,People & Body,hand-fingers-partial,1F918 1F3FB,signo de los cuernos  tono de piel clara,[signo de los cuernos  tono de piel clara]
🤘🏼,sign of the horns: medium-light skin tone,People & Body,hand-fingers-partial,1F918 1F3FC,signo de los cuernos  medio-luz tono de la piel,[signo de los cuernos  medio-luz tono de la piel]
🤘🏽,sign of the horns: medium skin tone,People & Body,hand-fingers-partial,1F918 1F3FD,signo de los cuernos  tono de piel medio,[signo de los cuernos  tono de piel medio]
